title,description,tags,last_update,publisher,contact_nam,contact_email,url,direct_url,license,comments,type,access,category
EMTU - VLT Santos, Imagens da entrada de uma estação de VLT mostrando passageiros embarcando e desembarcando,"transporte, bilhetagem",9/11/2018,EMTU,,,https://www.dropbox.com/s/tpe42c3lmb4b1v3/10.3.6.53_2018_94322.mp4?dl=0,,,,MP4,,emtu
EMTU - GTFS, Rede de transportes por ônibus da EMTU em formato GTFS,"transporte,gtfs",4/2018,EMTU,,,https://www.dropbox.com/s/o2jstmnqi3jrd7n/gtfs.zip?dl=0,,,,CSV,,emtu
EMTU - Bilhetagem, Dados de bilhetagem da região metropolitana de São Paulo,"transporte,bilhetagem",10/2017,EMTU,,,https://www.dropbox.com/s/t83v61mz7u0qkc8/dados_bilhetagem_RMSP_Onibus.csv.zip?dl=0,,,,CSV,,emtu
EMTU - Índice de qualidade, Formulário e metodologia de cálculo do índice de satisfação do cliente,"transporte,pesquisa",11/2018,EMTU,,,https://www.dropbox.com/s/vj0k9z4gp0muh0j/Anexo%20IQC%202017.pdf?dl=0,,,,PDF,,emtu
EMTU - GPS (API tempo real),Monitoramento online dos ônibus metropolitanos do Estado de São Paulo (Para download do arquivo é necessário cadastro prévio),"transporte,gps,tempo-real",tempo real,EMTU,,,http://www.emtu.sp.gov.br/emtu/dados-abertos/dados-abertos-principal/api.fss,,,Para download do arquivo é necessário cadastro prévio.,API,cadastro,emtu
EMTU - GPS (histórico out/2016),EMTU - GPS (histórico out/2016). Ver arquivo README com instruções,"transporte,gps,historico",,EMTU,,,https://onedrive.live.com/?authkey=%21AOoF1qWpaO67vnc&id=166A4B8DDB6B8E0F%21165458&cid=166A4B8DDB6B8E0F,,,,csv,,emtu
EMTU - GPS (histórico out/2017),EMTU - GPS (histórico out/2017). Ver arquivo README com instruções,"transporte,gps,historico",,EMTU,,,https://onedrive.live.com/?authkey=%21AOoF1qWpaO67vnc&id=166A4B8DDB6B8E0F%21165458&cid=166A4B8DDB6B8E0F,,,,csv,,emtu
EMTU - Ocorrências operacionais - histórico,Histórico ocorrências operacionais EMTU,"transporte,ocorrências",,EMTU,,,https://onedrive.live.com/?authkey=%21AOoF1qWpaO67vnc&id=166A4B8DDB6B8E0F%21236829&cid=166A4B8DDB6B8E0F,,,,csv,,emtu
EMTU - Cartões/Bilhetagem,Dados consolidados sobre a bilhetagem eletrônica do sistema metropolitano de ônibus e de VLT nas Regiões Metropolitanas de São Paulo e da Baixada Santista (para download do arquivo é necessário cadastro prévio).,"transporte,bilhetagem,consolidado",,EMTU/Autopass,,,http://www.emtu.sp.gov.br/emtu/dados-abertos/dados-abertos-principal/bilhetagem-eletronica.fss,,,,Excel,,emtu
EMTU - Dados operacionais,"Informações dos dados operacionais do sistema metropolitano de ônibus em operação nas cinco das seis regiões metropolitanas do Estado de São Paulo – A Região de Ribeirão Preto está em implantação. Estão disponíveis: nome das empresas, tipo de sistema (regular e fretamento), tipo de veículo, prefixos, placas e a região em que atuam.","transporte,dados-operacionais",,EMTU,,,http://www.emtu.sp.gov.br/emtu/dados-abertos/dados-abertos-principal/dados-operacionais.fss,,,Para download do arquivo é necessário cadastro prévio.,Diversos,cadastro,emtu
