title,description,tags,last_update,publisher,contact_nam,contact_email,url,direct_url,license,comments,type,access,category
Circular Interno,"Rotas, paradas e estimativa de horário do Circular interno.",transporte,,Unicamp,,,http://www.prefeitura.unicamp.br/servicos/diretoria-de-servicos-de-transporte/busca-circulares,,,,API,,unicamp
Cardápio de hoje dos Restaurantes Universitários (Bandecos),"Cardápio do café-da-manhã (RU), almoço tradicional (RU, RA, RS) e vegetariano (RS) e jantar tradicional (RU, RA, RS) e vegetariano (RS) nos restaurantes universitários no campus de Campinas.","restaurante, cardapio, vida-estudantil",10/30/15,Unicamp,,,http://www.prefeitura.unicamp.br/servicos/divisao-de-alimentacao/cardapio-dos-restaurantes,,,"menus and nutritional information is presented on website and is not structured, open data (yet!)",HTML,,unicamp
Rotas do circular interno,Mapa dos circulares contendo os pontos de parada.,"transporte,mapa, shape",10/30/15,Unicamp,,,http://www.prefeitura.unicamp.br/servicos/diretoria-de-servicos-de-transporte/mapa-circulares,http://www.prefeitura.unicamp.br/servicos/diretoria-de-servicos-de-transporte/mapa-circulares,,,HTML,,unicamp
EMTU - Dados abertos,"Diversos dados abertos da Empresa Metropolitana de Transportes Urbanos de São Paulo. GTFS (rede de transporte), API - dados online de posicionamento dos ônibus (GPS), Dados Operacionais, Sistema Ligado - EMTU, Ocorrências Operacionais, Bilhetagem Eletrônica, CAC e Ouvidoria","transporte, diversos",,EMTU,,,http://www.emtu.sp.gov.br/emtu/dados-abertos/dados-abertos-principal/acesse-os-dados-abertos.fss,,,,HTML,,emtu
EMTU - GTFS (rede transporte),GTFS (General Transit Feed Specification ) - a Região Metropolitana de Ribeirão Preto está em fase de implantação.,"transporte,rede,gtfs",,EMTU,,,http://www.emtu.sp.gov.br/emtu/dados-abertos/dados-abertos-principal/gtfs.fss,,,Para download do arquivo é necessário cadastro prévio.,csv,cadastro,emtu
EMTU - GPS (API tempo real),Monitoramento online dos ônibus metropolitanos do Estado de São Paulo,"transporte,gps,tempo-real",tempo real,EMTU,,,http://www.emtu.sp.gov.br/emtu/dados-abertos/dados-abertos-principal/api.fss,,,Para download do arquivo é necessário cadastro prévio.,API,cadastro,emtu
EMTU - Cartões/Bilhetagem,Dados consolidados sobre a bilhetagem eletrônica do sistema metropolitano de ônibus e de VLT nas Regiões Metropolitanas de São Paulo e da Baixada Santista.,"transporte,bilhetagem,consolidado",,EMTU/Autopass,,,http://www.emtu.sp.gov.br/emtu/dados-abertos/dados-abertos-principal/bilhetagem-eletronica.fss,,,,Excel,,emtu
EMTU - Dados operacionais,"Informações dos dados operacionais do sistema metropolitano de ônibus em operação nas cinco das seis regiões metropolitanas do Estado de São Paulo – A Região de Ribeirão Preto está em implantação. Estão disponíveis: nome das empresas, tipo de sistema (regular e fretamento), tipo de veículo, prefixos, placas e a região em que atuam.","transporte,dados-operacionais",,EMTU,,,http://www.emtu.sp.gov.br/emtu/dados-abertos/dados-abertos-principal/dados-operacionais.fss,,,Para download do arquivo é necessário cadastro prévio.,Diversos,cadastro,emtu
EMTU - Ocorrências operacionais,"Por meio da API (Application Programming Interface) de ocorrências operacionais poderão ser acessadas informações como: partidas atrasadas; partidas não realizadas; incidentes (falha em escadas rolantes em terminais, paralisações no itinerário por manifestações, chuva e obras); acidentes sem vitimas (sem a identificação dos envolvidos); acidentes com vitimas (sem a identificação dos envolvidos e letalidade).","transporte,ocorrências,tempo-real",tempo real,EMTU,,,http://www.emtu.sp.gov.br/dadosAbertosEmtu/listaAssuntos.htm?a=lista&grupo=8,,,Para download do arquivo é necessário cadastro prévio.,API,cadastro,emtu
EMTU - Central atendimento ao cliente,"A Central de Atendimento é o principal canal de comunicação da EMTU. Nesta área estão disponibilizados os registros das diferentes categorias de atendimento, como sugestão, elogio e reclamação.","transporte,sac,atendimento",,EMTU,,,http://www.emtu.sp.gov.br/emtu/dados-abertos/dados-abertos-principal/cac-e-ouvidoria.fss,,,Para download do arquivo é necessário cadastro prévio.,Diversos,cadastro,emtu
EMTU - Dados SICOP - consolidados de passagens por linha - out/2016,,"transporte,passageiros",10/2016,EMTU - sicop,,,https://onedrive.live.com/?authkey=%21AOoF1qWpaO67vnc&cid=166A4B8DDB6B8E0F&id=166A4B8DDB6B8E0F%21162582&parId=166A4B8DDB6B8E0F%21162351&o=OneUp,,,,csv,,emtu
EMTU - Dados SICOP - consolidados de passagens por linha - out/2017,,"transporte,passageiros",10/2017,EMTU - sicop,,,https://onedrive.live.com/?authkey=%21AOoF1qWpaO67vnc&cid=166A4B8DDB6B8E0F&id=166A4B8DDB6B8E0F%21162583&parId=166A4B8DDB6B8E0F%21162351&o=OneUp,,,,csv,,emtu
